"gene_id","gene_name","gene_type","pvalue","adj.P.Val","logFC"
"ENSG00000143553","SNAPIN","protein_coding",0.00539395002481673,0.0292535663918489,0.22632585617675
"ENSG00000165630","PRPF18","protein_coding",0.00540151655679135,0.0292815247987131,-0.305627415310403
"ENSG00000134109","EDEM1","protein_coding",0.00542061720101448,0.0293719565693524,0.275352805493365
"ENSG00000116171","SCP2","protein_coding",0.00545324088650906,0.029380266476353,-0.189953762186383
"ENSG00000248485","PCP4L1","protein_coding",0.00544871428501896,0.029380266476353,-0.626928010732455
"ENSG00000115128","SF3B6","protein_coding",0.0054560241212366,0.029380266476353,-0.167281441274024
"ENSG00000163517","HDAC11","protein_coding",0.00543452469690186,0.029380266476353,0.350468557745894
"ENSG00000206535","LNP1","protein_coding",0.00544431981536015,0.029380266476353,0.435383773548771
"ENSG00000164199","ADGRV1","protein_coding",0.00544101323627061,0.029380266476353,-0.477759726040942
"ENSG00000170791","CHCHD7","protein_coding",0.00544533391649921,0.029380266476353,0.247357589844956
"ENSG00000122862","SRGN","protein_coding",0.00543647562955074,0.029380266476353,0.605688417559651
"ENSG00000139722","VPS37B","protein_coding",0.00543820474708241,0.029380266476353,-0.347166283265652
"ENSG00000100842","EFS","protein_coding",0.00544136703280659,0.029380266476353,0.587468544687521
"ENSG00000124067","SLC12A4","protein_coding",0.00545442229986252,0.029380266476353,0.503032862388307
"ENSG00000167434","CA4","protein_coding",0.00542495255265567,0.029380266476353,-0.592502794435883
"ENSG00000204347","BTBD17","protein_coding",0.00544802823674789,0.029380266476353,-0.74832009685866
"ENSG00000224924","LINC00320","lncRNA",0.00545511341227374,0.029380266476353,0.628406885529465
"ENSG00000135299","ANKRD6","protein_coding",0.00546142759164802,0.0293963276796905,-0.338366152624152
"ENSG00000105605","CACNG7","protein_coding",0.00547496251854786,0.0294561231115315,0.318011481468396
"ENSG00000172005","MAL","protein_coding",0.00548776450788264,0.0294634367888683,0.910578761155213
"ENSG00000152413","HOMER1","protein_coding",0.00548465377827739,0.0294634367888683,-0.490967605857961
"ENSG00000205302","SNX2","protein_coding",0.00547962053080103,0.0294634367888683,-0.217509390260217
"ENSG00000161835","GRASP","protein_coding",0.00548373974447191,0.0294634367888683,0.675195983679502
"ENSG00000126803","HSPA2","protein_coding",0.00548845376071976,0.0294634367888683,0.68676785412555
"ENSG00000115295","CLIP4","protein_coding",0.00549203794397034,0.0294696494713353,0.240731390423122
"ENSG00000041982","TNC","protein_coding",0.00550101488676306,0.0295047808171218,0.833534219002134
"ENSG00000240694","PNMA2","protein_coding",0.00551526116189144,0.0295681308118533,0.340735766844012
"ENSG00000177854","TMEM187","protein_coding",0.00552692208154297,0.0296175705367062,0.435799503794918
"ENSG00000160072","ATAD3B","protein_coding",0.00555748571666787,0.0297487920592012,0.318566111805408
"ENSG00000185745","IFIT1","protein_coding",0.00555817305643706,0.0297487920592012,0.353467112001069
"ENSG00000015153","YAF2","protein_coding",0.00555875888844005,0.0297487920592012,-0.200855257260102
"ENSG00000107338","SHB","protein_coding",0.00556461880561388,0.0297670335491495,0.580306515673578
"ENSG00000220205","VAMP2","protein_coding",0.00556773768455178,0.029770602687588,-0.284778965786805
"ENSG00000130813","SHFL","protein_coding",0.00557744516172324,0.0298093823058122,0.206863501879174
"ENSG00000128928","IVD","protein_coding",0.00558113904586272,0.0298114728027741,0.202542375091792
"ENSG00000129682","FGF13","protein_coding",0.00558274636856693,0.0298114728027741,-0.394977919630357
"ENSG00000137269","LRRC1","protein_coding",0.00558856768598316,0.0298294406201729,0.582090339692862
"ENSG00000078549","ADCYAP1R1","protein_coding",0.00561034225877196,0.0299325070510843,0.304409159916863
"ENSG00000243749","TMEM35B","protein_coding",0.00563830231906432,0.0300420820800342,0.46634321513718
"ENSG00000206561","COLQ","protein_coding",0.00563479213632113,0.0300420820800342,0.43062000306867
"ENSG00000082556","OPRK1","protein_coding",0.00563585974740546,0.0300420820800342,0.691765168981787
"ENSG00000100410","PHF5A","protein_coding",0.00565006684030809,0.0300915621236233,0.251986316445849
"ENSG00000144711","IQSEC1","protein_coding",0.00567315903927728,0.0302013021542938,0.220313740170555
"ENSG00000244754","N4BP2L2","protein_coding",0.00567675571216966,0.0302072062282543,-0.311872756405932
"ENSG00000112333","NR2E1","protein_coding",0.00568095197158532,0.0302162942579766,-0.496977305375282
"ENSG00000118308","LRMP","protein_coding",0.00568711560028539,0.0302358339467012,0.656352360171377
"ENSG00000155111","CDK19","protein_coding",0.00569584551238547,0.0302557533057291,0.40586055963439
"ENSG00000022976","ZNF839","protein_coding",0.00569429965923273,0.0302557533057291,0.280603645000512
"ENSG00000106397","PLOD3","protein_coding",0.00571026630763378,0.0303190921616078,0.455022957862172
"ENSG00000184517","ZFP1","protein_coding",0.0057168567936993,0.0303408182018753,-0.273441714232201
"ENSG00000131462","TUBG1","protein_coding",0.0057246263935376,0.0303612841781519,-0.285817630113523
"ENSG00000105576","TNPO2","protein_coding",0.00572571364308391,0.0303612841781519,0.224556603847332
"ENSG00000135336","ORC3","protein_coding",0.00573414689861667,0.0303927305935845,-0.245159068968939
"ENSG00000129484","PARP2","protein_coding",0.00574982632355297,0.03046253972378,0.241516282992767
"ENSG00000134996","OSTF1","protein_coding",0.00576096057344449,0.0305082181610713,0.365713706205112
"ENSG00000170364","SETMAR","protein_coding",0.00578109314163781,0.030601488238408,-0.242302385056915
"ENSG00000126107","HECTD3","protein_coding",0.00578821609515944,0.0306125035032758,0.241517104885149
"ENSG00000196405","EVL","protein_coding",0.00578669356308095,0.0306125035032758,0.23559686549564
"ENSG00000144747","TMF1","protein_coding",0.0057987091740489,0.0306376509547316,-0.254309570877587
"ENSG00000160145","KALRN","protein_coding",0.00579914204385182,0.0306376509547316,-0.375329619049384
"ENSG00000135424","ITGA7","protein_coding",0.00580054019146241,0.0306376509547316,0.425067345903023
"ENSG00000113761","ZNF346","protein_coding",0.00580310564154987,0.0306378746979739,-0.283298024311896
"ENSG00000175175","PPM1E","protein_coding",0.00583292864474836,0.0307819437345412,-0.479493542524052
"ENSG00000225978","HAR1A","lncRNA",0.00583854759347997,0.0307982117409328,0.436257321835665
"ENSG00000185352","HS6ST3","protein_coding",0.00584387645790081,0.0307995624254729,-0.471183255484313
"ENSG00000080845","DLGAP4","protein_coding",0.00584317664060399,0.0307995624254729,-0.278583512068427
"ENSG00000144619","CNTN4","protein_coding",0.00585187499925817,0.0308149688274033,0.571011822506254
"ENSG00000253626","EIF5AL1","protein_coding",0.00585003838637769,0.0308149688274033,-0.659067672511621
"ENSG00000111196","MAGOHB","protein_coding",0.00586095821196105,0.0308494215725371,-0.265842406619346
"ENSG00000261115","TMEM178B","protein_coding",0.00588665479748372,0.0309712518222898,-0.455195244342577
"ENSG00000094880","CDC23","protein_coding",0.00592434289631585,0.031156039753124,-0.206527749029297
"ENSG00000137936","BCAR3","protein_coding",0.00594858132404947,0.0312159194616984,0.435801886596971
"ENSG00000176887","SOX11","protein_coding",0.00595109332976551,0.0312159194616984,-0.902923112457444
"ENSG00000164708","PGAM2","protein_coding",0.00595115322027767,0.0312159194616984,0.520429171781741
"ENSG00000135090","TAOK3","protein_coding",0.00594535923785419,0.0312159194616984,-0.275510090746403
"ENSG00000131469","RPL27","protein_coding",0.00594269786216025,0.0312159194616984,-0.294193819254645
"ENSG00000125868","DSTN","protein_coding",0.00595073007656436,0.0312159194616984,-0.23427335870914
