"gene_id","gene_name","gene_type","pvalue","adj.P.Val","logFC"
"ENSG00000011454","RABGAP1","protein_coding",0.908209655581871,0.969644849142184,0.0196477161107535
"ENSG00000033800","PIAS1","protein_coding",0.908432711014814,0.969686095166379,-0.0206206902926109
"ENSG00000141959","PFKL","protein_coding",0.908503312602403,0.969686095166379,0.0185800107465725
"ENSG00000163923","RPL39L","protein_coding",0.908866206467817,0.969887340606266,-0.0312709409476979
"ENSG00000129083","COPB1","protein_coding",0.908832820488128,0.969887340606266,0.0225878983780629
"ENSG00000110104","CCDC86","protein_coding",0.909067193304016,0.970008784185334,0.0292846396895358
"ENSG00000112874","NUDT12","protein_coding",0.909345155315163,0.970212331994295,-0.0266749069623512
"ENSG00000162191","UBXN1","protein_coding",0.909843505722672,0.970650958353673,-0.0178465547398079
"ENSG00000177674","AGTRAP","protein_coding",0.910985400764941,0.970722003063713,0.0363744210565553
"ENSG00000084636","COL16A1","protein_coding",0.911480564983517,0.970722003063713,-0.0324013108366003
"ENSG00000163444","TMEM183A","protein_coding",0.911240031036213,0.970722003063713,-0.0187429639724863
"ENSG00000197121","PGAP1","protein_coding",0.911011210215636,0.970722003063713,0.0183629178498494
"ENSG00000142330","CAPN10","protein_coding",0.91045840576685,0.970722003063713,0.0329143890662656
"ENSG00000177479","ARIH2","protein_coding",0.911428076814124,0.970722003063713,-0.0193332978324495
"ENSG00000197451","HNRNPAB","protein_coding",0.911067518732827,0.970722003063713,0.0252565255010205
"ENSG00000137218","FRS3","protein_coding",0.910531608171861,0.970722003063713,-0.0396363456236363
"ENSG00000175806","MSRA","protein_coding",0.910941813148505,0.970722003063713,-0.0230518776285632
"ENSG00000165029","ABCA1","protein_coding",0.911436390215038,0.970722003063713,-0.0268482265677153
"ENSG00000139998","RAB15","protein_coding",0.910523651146049,0.970722003063713,0.020392890764048
"ENSG00000182218","HHIPL1","protein_coding",0.910987333972503,0.970722003063713,0.0417785641724322
"ENSG00000125447","GGA3","protein_coding",0.910654882298891,0.970722003063713,-0.0240016128476921
"ENSG00000118276","B4GALT6","protein_coding",0.910545320449951,0.970722003063713,-0.0246249804329683
"ENSG00000079313","REXO1","protein_coding",0.911343516066545,0.970722003063713,0.0291716292250652
"ENSG00000105325","FZR1","protein_coding",0.911405741619659,0.970722003063713,0.0191409053894926
"ENSG00000188171","ZNF626","protein_coding",0.911465283830959,0.970722003063713,-0.0251793950835369
"ENSG00000132646","PCNA","protein_coding",0.910793374408029,0.970722003063713,0.0173619890082269
"ENSG00000067064","IDI1","protein_coding",0.911739523354102,0.970853855448521,0.0208682860946516
"ENSG00000079616","KIF22","protein_coding",0.911778890489088,0.970853855448521,0.0216396547554237
"ENSG00000128829","EIF2AK4","protein_coding",0.911880133546381,0.970868743142299,0.022021766783809
"ENSG00000141699","RETREG3","protein_coding",0.912362099260624,0.971196011899512,-0.0226183721649312
"ENSG00000104969","SGTA","protein_coding",0.912334235202717,0.971196011899512,-0.0181522026459147
"ENSG00000160679","CHTOP","protein_coding",0.913098067744503,0.971236051790185,-0.0156987331434448
"ENSG00000162852","CNST","protein_coding",0.912979501211693,0.971236051790185,-0.0231328584275989
"ENSG00000178171","AMER3","protein_coding",0.912706280542618,0.971236051790185,0.0321640732185281
"ENSG00000127838","PNKD","protein_coding",0.912614008576908,0.971236051790185,0.0195475004393478
"ENSG00000090539","CHRD","protein_coding",0.912872701372162,0.971236051790185,0.0436719093250134
"ENSG00000164403","SHROOM1","protein_coding",0.913031767238494,0.971236051790185,0.0492194793693664
"ENSG00000130222","GADD45G","protein_coding",0.912775489375439,0.971236051790185,-0.0536629350662444
"ENSG00000108306","FBXL20","protein_coding",0.912492071273247,0.971236051790185,-0.0248219022622651
"ENSG00000196182","STK40","protein_coding",0.914711285065478,0.971327120880296,0.0269311972123186
"ENSG00000143369","ECM1","protein_coding",0.914920563955379,0.971327120880296,0.0523111348399559
"ENSG00000135966","TGFBRAP1","protein_coding",0.915904556536479,0.971327120880296,0.0221414127397266
"ENSG00000267034","AC010980.1","lncRNA",0.915712904036804,0.971327120880296,-0.0322201899447788
"ENSG00000163607","GTPBP8","protein_coding",0.915163709540581,0.971327120880296,0.0388630946016945
"ENSG00000091527","CDV3","protein_coding",0.915816179048117,0.971327120880296,-0.0165165460507904
"ENSG00000033178","UBA6","protein_coding",0.914522259000136,0.971327120880296,-0.0181435210173803
"ENSG00000005059","MCUB","protein_coding",0.914847066466313,0.971327120880296,0.0405546789440656
"ENSG00000085871","MGST2","protein_coding",0.914434219301288,0.971327120880296,0.0267703073190976
"ENSG00000132846","ZBED3","protein_coding",0.914005562734019,0.971327120880296,-0.0380249670556844
"ENSG00000113649","TCERG1","protein_coding",0.914783386424656,0.971327120880296,-0.0184142725031465
"ENSG00000169302","STK32A","protein_coding",0.915391874895392,0.971327120880296,0.0305353432416968
"ENSG00000248275","TRIM52-AS1","lncRNA",0.915953264326813,0.971327120880296,0.0313160926389779
"ENSG00000112137","PHACTR1","protein_coding",0.913795282954315,0.971327120880296,-0.0210019046408837
"ENSG00000111802","TDP2","protein_coding",0.915030497427483,0.971327120880296,-0.0241406798031659
"ENSG00000161904","LEMD2","protein_coding",0.915867185486134,0.971327120880296,0.0331196160906873
"ENSG00000137221","TJAP1","protein_coding",0.91498959379676,0.971327120880296,0.0444027013947087
"ENSG00000118402","ELOVL4","protein_coding",0.916168288673214,0.971327120880296,-0.0219864884548585
"ENSG00000146457","WTAP","protein_coding",0.913687370701832,0.971327120880296,0.0180890513792336
"ENSG00000156467","UQCRB","protein_coding",0.916533274896188,0.971327120880296,-0.0186347801802078
"ENSG00000106701","FSD1L","protein_coding",0.916588481226158,0.971327120880296,0.022821029771598
"ENSG00000160563","MED27","protein_coding",0.916376841439276,0.971327120880296,0.0241833149007955
"ENSG00000173153","ESRRA","protein_coding",0.916414511249783,0.971327120880296,0.0169840030601863
"ENSG00000198040","ZNF84","protein_coding",0.914467658632745,0.971327120880296,0.0191545062184771
"ENSG00000188811","NHLRC3","protein_coding",0.914019572363289,0.971327120880296,0.0229039879842056
"ENSG00000138592","USP8","protein_coding",0.914954559425967,0.971327120880296,0.0191512777932312
"ENSG00000197562","RAB40C","protein_coding",0.916503985089909,0.971327120880296,-0.0252444450771304
"ENSG00000168096","ANKS3","protein_coding",0.915874307927268,0.971327120880296,0.0324821432940351
"ENSG00000118894","EEF2KMT","protein_coding",0.915128114289595,0.971327120880296,-0.0337837456698889
"ENSG00000122299","ZC3H7A","protein_coding",0.916565791798573,0.971327120880296,-0.0227002821342196
"ENSG00000170291","ELP5","protein_coding",0.915585010028713,0.971327120880296,0.0229349525414292
"ENSG00000132507","EIF5A","protein_coding",0.915613357805759,0.971327120880296,0.0197467193314835
"ENSG00000161914","ZNF653","protein_coding",0.915734434697521,0.971327120880296,-0.0368981637233521
"ENSG00000013275","PSMC4","protein_coding",0.915069131207602,0.971327120880296,-0.0266960413914069
"ENSG00000105245","NUMBL","protein_coding",0.916206328640186,0.971327120880296,0.0165794391143456
"ENSG00000215251","FASTKD5","protein_coding",0.915280696191443,0.971327120880296,-0.0325915035954584
"ENSG00000132819","RBM38","protein_coding",0.91551655690391,0.971327120880296,-0.0318069673038328
"ENSG00000128228","SDF2L1","protein_coding",0.91609607870009,0.971327120880296,0.0194577329682169
"ENSG00000130150","MOSPD2","protein_coding",0.915496491885126,0.971327120880296,-0.0358410699603767
"ENSG00000142208","AKT1","protein_coding",0.916812352768308,0.971471832085733,0.0240223055850466
"ENSG00000143543","JTB","protein_coding",0.918137637765474,0.971593526114769,0.0137029634867568
"ENSG00000115504","EHBP1","protein_coding",0.917762390802955,0.971593526114769,-0.018446833172697
"ENSG00000144231","POLR2D","protein_coding",0.919324222431644,0.971593526114769,0.0288856006154584
"ENSG00000064933","PMS1","protein_coding",0.918156837428242,0.971593526114769,0.0255785425231926
"ENSG00000119041","GTF3C3","protein_coding",0.917724765708935,0.971593526114769,-0.0236006451079254
"ENSG00000114439","BBX","protein_coding",0.918109981092839,0.971593526114769,0.0231718754555236
"ENSG00000178075","GRAMD1C","protein_coding",0.917688500631376,0.971593526114769,0.0284867928303923
"ENSG00000173905","GOLIM4","protein_coding",0.919635614513387,0.971593526114769,-0.0213062660626086
"ENSG00000171109","MFN1","protein_coding",0.919808970929971,0.971593526114769,0.0192678553325695
"ENSG00000156931","VPS8","protein_coding",0.919529549196608,0.971593526114769,-0.0272825003707611
"ENSG00000185345","PRKN","protein_coding",0.919093121531913,0.971593526114769,-0.0198787924228403
"ENSG00000135185","TMEM243","protein_coding",0.918141991400364,0.971593526114769,0.0298959316019294
"ENSG00000106245","BUD31","protein_coding",0.918733602881061,0.971593526114769,0.0158004426564239
"ENSG00000164949","GEM","protein_coding",0.918643075535199,0.971593526114769,0.0559761792743388
"ENSG00000175893","ZDHHC21","protein_coding",0.917470962010568,0.971593526114769,0.0194548465715127
"ENSG00000095321","CRAT","protein_coding",0.918813114501345,0.971593526114769,0.0214014291673876
"ENSG00000148481","MINDY3","protein_coding",0.919586370972136,0.971593526114769,0.0194333511224196
"ENSG00000108100","CCNY","protein_coding",0.918027622132004,0.971593526114769,-0.0194446316377746
"ENSG00000198105","ZNF248","protein_coding",0.9194815466001,0.971593526114769,0.022104675011262
"ENSG00000167323","STIM1","protein_coding",0.918754485152491,0.971593526114769,-0.0164548817161092
"ENSG00000184154","LRTOMT","protein_coding",0.918275120396371,0.971593526114769,-0.0347199138134186
"ENSG00000075239","ACAT1","protein_coding",0.918093946760432,0.971593526114769,-0.0157541750047132
"ENSG00000167272","POP5","protein_coding",0.918255700279229,0.971593526114769,-0.0234825981757859
"ENSG00000243708","PLA2G4B","protein_coding",0.919372941827621,0.971593526114769,0.0424559470854731
"ENSG00000092531","SNAP23","protein_coding",0.919522432499599,0.971593526114769,0.0292088061571238
"ENSG00000070770","CSNK2A2","protein_coding",0.918262790909116,0.971593526114769,-0.0221425828896492
"ENSG00000167670","CHAF1A","protein_coding",0.919280750444552,0.971593526114769,0.0428048919360574
"ENSG00000239382","ALKBH6","protein_coding",0.918279391781263,0.971593526114769,-0.0201286518129885
"ENSG00000105136","ZNF419","protein_coding",0.919508360982287,0.971593526114769,0.0305781726769154
"ENSG00000166913","YWHAB","protein_coding",0.918459795582711,0.971593526114769,0.0185503498605467
"ENSG00000124160","NCOA5","protein_coding",0.919779284847442,0.971593526114769,-0.0219544670894684
"ENSG00000046651","OFD1","protein_coding",0.918731994227972,0.971593526114769,0.0324432155766331
"ENSG00000182518","FAM104B","protein_coding",0.91878810816551,0.971593526114769,-0.0296972129878697
"ENSG00000107651","SEC23IP","protein_coding",0.920128706193464,0.97183899611814,-0.0213853103278445
"ENSG00000117174","ZNHIT6","protein_coding",0.920451755828861,0.971853115616741,0.0246580035045888
"ENSG00000198483","ANKRD35","protein_coding",0.920328114264568,0.971853115616741,0.0193021770401652
"ENSG00000136908","DPM2","protein_coding",0.920247209900781,0.971853115616741,-0.0226556151473184
"ENSG00000059145","UNKL","protein_coding",0.920491473338956,0.971853115616741,0.0173512545232029
"ENSG00000106261","ZKSCAN1","protein_coding",0.920650244382807,0.971869194302497,-0.0182181502347328
"ENSG00000136875","PRPF4","protein_coding",0.920761736878703,0.971869194302497,-0.0211949844702066
"ENSG00000072849","DERL2","protein_coding",0.92076875581005,0.971869194302497,0.019380028869085
"ENSG00000164506","STXBP5","protein_coding",0.921073605217995,0.971954622868715,0.0179196221385233
"ENSG00000173327","MAP3K11","protein_coding",0.921106510666455,0.971954622868715,0.028711643716237
"ENSG00000151135","TMEM263","protein_coding",0.921111769146839,0.971954622868715,-0.0179335956905884
"ENSG00000122035","RASL11A","protein_coding",0.921322806830607,0.972079408833974,0.0645323356072232
"ENSG00000127554","GFER","protein_coding",0.921404767711944,0.972079408833974,-0.0246529007439932
"ENSG00000183513","COA5","protein_coding",0.921858359957373,0.972152888671973,-0.0184251587119923
"ENSG00000205302","SNX2","protein_coding",0.921903923400467,0.972152888671973,-0.0194080147864737
"ENSG00000146083","RNF44","protein_coding",0.921911300411467,0.972152888671973,0.0183102316223248
"ENSG00000170633","RNF34","protein_coding",0.921600458846312,0.972152888671973,-0.0154398049412296
"ENSG00000130204","TOMM40","protein_coding",0.921747354331859,0.972152888671973,0.0164720808640062
"ENSG00000163681","SLMAP","protein_coding",0.922565987639565,0.97220699146468,0.0191518433737257
"ENSG00000180769","WDFY3-AS2","lncRNA",0.922291902446508,0.97220699146468,-0.0265047235212843
"ENSG00000111481","COPZ1","protein_coding",0.922293056668821,0.97220699146468,0.0155448047491875
"ENSG00000141258","SGSM2","protein_coding",0.922194463601667,0.97220699146468,-0.0147128950586045
"ENSG00000101639","CEP192","protein_coding",0.922331165460778,0.97220699146468,-0.031488760312906
"ENSG00000127616","SMARCA4","protein_coding",0.922469064082062,0.97220699146468,-0.0153655442688841
"ENSG00000130303","BST2","protein_coding",0.922574277897186,0.97220699146468,-0.0313424536473832
"ENSG00000060642","PIGV","protein_coding",0.92294039135142,0.972210311333321,0.0243219075640097
"ENSG00000198742","SMURF1","protein_coding",0.923001250811509,0.972210311333321,-0.0267569285609723
"ENSG00000180263","FGD6","protein_coding",0.922991212636496,0.972210311333321,0.043089965958252
"ENSG00000092068","SLC7A8","protein_coding",0.923014337463048,0.972210311333321,-0.0179208068605633
"ENSG00000130475","FCHO1","protein_coding",0.922969810061356,0.972210311333321,-0.0401785145801918
"ENSG00000169762","TAPT1","protein_coding",0.923237014784577,0.972326573115089,0.0169084121121621
"ENSG00000076685","NT5C2","protein_coding",0.923324791996142,0.972326573115089,0.0184840399356072
"ENSG00000064607","SUGP2","protein_coding",0.923386893001441,0.972326573115089,0.0132461219419034
"ENSG00000185298","CCDC137","protein_coding",0.923643977434883,0.972505242068753,-0.0289265359839907
"ENSG00000170677","SOCS6","protein_coding",0.923819540591163,0.972598051534565,0.0203649619409286
"ENSG00000143207","COP1","protein_coding",0.92410945578698,0.972662596972373,-0.0166918161617127
"ENSG00000137413","TAF8","protein_coding",0.924143116357627,0.972662596972373,-0.0292329016412348
"ENSG00000179292","TMEM151A","protein_coding",0.924099781874595,0.972662596972373,0.0200914067292955
"ENSG00000116649","SRM","protein_coding",0.925208783674371,0.972764493247358,-0.0210574811350154
"ENSG00000121774","KHDRBS1","protein_coding",0.925467335331808,0.972764493247358,-0.0161437646789998
"ENSG00000158158","CNNM4","protein_coding",0.924973173198742,0.972764493247358,0.035182713558117
"ENSG00000115368","WDR75","protein_coding",0.925590663993172,0.972764493247358,-0.0225952694759333
"ENSG00000129596","CDO1","protein_coding",0.925073632551138,0.972764493247358,-0.0168963614043966
"ENSG00000112183","RBM24","protein_coding",0.924451827240861,0.972764493247358,0.0347315112906177
"ENSG00000197461","PDGFA","protein_coding",0.925901130998519,0.972764493247358,0.025564592847469
"ENSG00000147813","NAPRT","protein_coding",0.924874712506402,0.972764493247358,0.0648621449559735
"ENSG00000172531","PPP1CA","protein_coding",0.924816055467802,0.972764493247358,0.0160135040686132
"ENSG00000137497","NUMA1","protein_coding",0.925205411993229,0.972764493247358,0.0176601360903079
